Id,Name,Address,City,County,State,Status,Latitude,Longitude,Beds,Trauma,Helipad
53391362,Los Robles Hospital & Medical Center - East Campus,150 Via Merida,Westlake Vilage,Ventura,California,Open,34.1549388720001,-118.815736391,62,Not Available,N
11190023,East Los Angeles Doctors Hospital,4060 Whittier Boulevard,Los Angeles,Los Angeles,California,Open,34.023647302,-118.184164805,127,Not Available,N
17090028,Southern California Hospital At Hollywood,6245 De Longpre Avenue,Hollywood,Los Angeles,California,Open,34.0963913570001,-118.325234871,100,Not Available,N
23691706,Kindred Hospital Baldwin Park,14148 Francisquito Avenue,Baldwin Park,Los Angeles,California,Open,34.063038932,-117.967437788,95,Not Available,N
25190712,Lakewood Regional Medical Center,3700 East South Street,Lakewood,Los Angeles,California,Open,33.8597066200001,-118.148402965,172,Not Available,N
30791016,Monrovia Memorial Hospital,323 South Heliotrope Avenue,Monrovia,Los Angeles,California,Open,34.1487586590001,-117.992667657,49,Not Available,N
30891754,Monterey Park Hospital,900 South Atlantic Boulevard,Monterey Park,Los Angeles,California,Open,34.0494660590001,-118.138262231,101,Not Available,N
47090505,Star View Adolescent - P H F,4025 West 226 Street,Torrance,Los Angeles,California,Open,33.823914464,-118.356096947,16,Not Available,N
9092879,Corona Regional Medical Center-Magnolia,730 Magnolia Avenue,Corona,Riverside,California,Open,33.8580833070001,-117.553858035,78,Not Available,N
30696101,Modoc Medical Center,228 Mc Dowell Street,Alturas,Modoc,California,Open,41.4800562550001,-120.545743987,87,Not Available,Y
38593901,Salinas Valley Memorial Hospital,450 East Romie Lane,Salinas,Monterey,California,Open,36.659030456,-121.645983804,269,Not Available,N
15992866,Healthbridge Children'S Hospital-Orange,393 S. Tustin Street,Orange,Orange,California,Open,33.7827271730001,-117.833891865,27,Not Available,N
16192680,Healthsouth Tustin Rehabilitation Hospital,14851 Yorba Street,Tustin,Orange,California,Open,33.7474607400001,-117.831055631,48,Not Available,N
23792621,Kindred Hospital Brea,875 North Brea Boulevard,Brea,Orange,California,Open,33.934495886,-117.893948792,86,Not Available,N
