State,Lat,Long_,April_2020,May_2020,June_2020,July_2020,August_2020,September_2020,October_2020,November_2020,December_2020,January_2021,February_2021,March_2021,April_2021,May_2021,June_2021,July_2021,August_2021,September_2021,October_2021,November_2021,December_2021,January_2022,February_2022,March_2022,April_2022,May_2022,June_2022,July_2022,August_2022,September_2022,October_2022,November_2022,December_2022,January_2023,February_2023,March_2023
Alabama,32.3182,-86.9023,1171.0,7440.0,18525.0,39647.0,90299.0,127234.0,155727.0,194458.0,252900.0,365747.0,460860.0,493769.0,515866.0,528309.0,544045.0,550983.0,587405.0,704420.0,798320.0,832264.0,846297.0,896614.0,1223896.0,1280351.0,1295353.0,1300733.0,1315934.0,1359051.0,1424411.0,1494300.0,1522135.0,1534287.0,1549285.0,1568934.0,1617850.0,1642062.0
Alaska,61.3707,-152.4044,132.0,364.0,469.0,993.0,3184.0,5344.0,7996.0,16709.0,33139.0,47019.0,54457.0,58681.0,63298.0,68148.0,70319.0,71275.0,75486.0,89345.0,115703.0,139429.0,151323.0,157169.0,216939.0,239494.0,247739.0,253002.0,262071.0,272415.0,283643.0,294498.0,298178.0,300177.0,299869.0,301432.0,304368.0,307073.0
Arizona,33.7298,-111.4312,1530.0,7969.0,20129.0,84105.0,177002.0,202342.0,219212.0,247473.0,337139.0,530267.0,762145.0,817821.0,842192.0,863571.0,881454.0,895347.0,929541.0,1016663.0,1097225.0,1170990.0,1272943.0,1389708.0,1878211.0,1976890.0,2007180.0,2021524.0,2062669.0,2125567.0,2196429.0,2254374.0,2271560.0,2287886.0,2337547.0,2378334.0,2401287.0,2440294.0
Arkansas,34.9697,-92.3731,584.0,3337.0,7443.0,21197.0,43173.0,61497.0,84821.0,113057.0,159309.0,229442.0,296494.0,322509.0,330609.0,335968.0,341450.0,350085.0,388436.0,455781.0,496934.0,513352.0,529768.0,570641.0,781396.0,820677.0,833029.0,835916.0,843828.0,866816.0,904513.0,933962.0,951892.0,960225.0,969642.0,985747.0,996887.0,1004752.0
California,36.1162,-119.6816,9262.0,52542.0,116302.0,248148.0,515543.0,717892.0,824977.0,944472.0,1282752.0,2434971.0,3396854.0,3629658.0,3729904.0,3806435.0,3854079.0,3884784.0,4055073.0,4479579.0,4744545.0,4930327.0,5086496.0,5519689.0,8481477.0,8986389.0,9108105.0,9233795.0,9626398.0,10156455.0,10754482.0,11116629.0,11269880.0,11385091.0,11551397.0,11835450.0,12003780.0,12097613.0
Colorado,39.0598,-105.3111,7604.0,20228.0,29228.0,36806.0,51819.0,61276.0,77513.0,127800.0,276655.0,362438.0,415482.0,445512.0,479774.0,527929.0,553723.0,563627.0,582404.0,629580.0,686890.0,762463.0,854994.0,1004704.0,1375453.0,1410295.0,1421384.0,1439577.0,1491706.0,1554954.0,1604776.0,1633767.0,1654798.0,1675734.0,1709688.0,1734782.0,1749557.0,1761332.0
Connecticut,41.5978,-72.7554,3557.0,28764.0,42740.0,46572.0,49810.0,53006.0,57742.0,71207.0,118754.0,185708.0,253954.0,282626.0,312468.0,339233.0,347563.0,349387.0,354335.0,373784.0,391066.0,403415.0,422785.0,510188.0,700640.0,723559.0,737276.0,758281.0,810190.0,831880.0,854934.0,875574.0,897699.0,913565.0,927641.0,949324.0,967429.0,975405.0
Delaware,39.3185,-75.5071,368.0,4918.0,9605.0,11510.0,14877.0,17535.0,20787.0,25126.0,36343.0,58064.0,78495.0,87080.0,95188.0,104621.0,108894.0,109770.0,111563.0,120180.0,133599.0,144397.0,153762.0,183880.0,248447.0,256656.0,259746.0,262461.0,276771.0,285403.0,294908.0,302986.0,308713.0,313466.0,317174.0,321888.0,326847.0,330793.0
District of Columbia,38.8974,-77.0268,586.0,4658.0,8857.0,10365.0,12057.0,14049.0,15358.0,17369.0,21685.0,29252.0,37008.0,40684.0,44656.0,47697.0,49000.0,49362.0,50398.0,55570.0,61331.0,64470.0,67047.0,94286.0,130949.0,134678.0,136886.0,141943.0,150303.0,157041.0,162692.0,166275.0,168514.0,169709.0,171608.0,173386.0,176012.0,177504.0
Florida,27.7663,-81.6868,6956.0,34728.0,56830.0,158997.0,480028.0,631040.0,709144.0,807412.0,1008166.0,1323315.0,1727107.0,1910921.0,2064525.0,2238937.0,2326755.0,2365464.0,2634234.0,3269502.0,3620106.0,3690812.0,3730395.0,4209927.0,5555874.0,5844096.0,5885004.0,5942723.0,6169670.0,6537512.0,6833033.0,7042096.0,7150188.0,7192835.0,7252023.0,7338503.0,7443954.0,7516906.0
Georgia,33.0406,-83.6431,4638.0,27489.0,47902.0,84242.0,190012.0,272697.0,319359.0,361982.0,476405.0,677589.0,912479.0,1008660.0,1060973.0,1101487.0,1124080.0,1135093.0,1179449.0,1413284.0,1582063.0,1636325.0,1666110.0,1839879.0,2378278.0,2466525.0,2500259.0,2515139.0,2571104.0,2647568.0,2750915.0,2870629.0,2905400.0,2920663.0,2943519.0,2985193.0,3035874.0,3065390.0
Hawaii,21.0943,-157.4983,224.0,619.0,652.0,926.0,2197.0,8653.0,12515.0,15154.0,18266.0,22397.0,26692.0,28381.0,30867.0,33970.0,36332.0,37807.0,42862.0,63957.0,79572.0,84364.0,87772.0,115642.0,220356.0,236269.0,240778.0,248405.0,282619.0,308695.0,325944.0,339514.0,355959.0,361817.0,367352.0,372198.0,377743.0,380098.0
Idaho,44.2405,-114.4788,566.0,2015.0,2839.0,6370.0,21110.0,32353.0,42561.0,65088.0,103305.0,141077.0,163165.0,171462.0,180897.0,187656.0,192305.0,195089.0,200484.0,222552.0,259100.0,292317.0,307561.0,319382.0,382466.0,427738.0,444210.0,446040.0,452085.0,464094.0,479375.0,489400.0,495873.0,499849.0,506232.0,511601.0,515706.0,519850.0
Illinois,40.3495,-88.9861,6980.0,56055.0,121234.0,144013.0,181754.0,238216.0,297884.0,423527.0,738846.0,963389.0,1128613.0,1187839.0,1248111.0,1337868.0,1382587.0,1392197.0,1419611.0,1528129.0,1630878.0,1701658.0,1816002.0,2149574.0,2929646.0,3033064.0,3069659.0,3138692.0,3306763.0,3435405.0,3573895.0,3692133.0,3762220.0,3816575.0,3882099.0,3969832.0,4019768.0,4072972.0
Indiana,39.8494,-86.2583,2564.0,18630.0,34830.0,45952.0,67122.0,94891.0,121176.0,182108.0,344373.0,517773.0,628391.0,662213.0,687713.0,721577.0,744213.0,754317.0,771299.0,862935.0,967682.0,1025834.0,1107189.0,1246854.0,1629098.0,1682222.0,1691470.0,1702292.0,1735581.0,1775886.0,1832878.0,1895799.0,1921993.0,1937565.0,1965757.0,2002760.0,2029459.0,2047622.0
Iowa,42.0115,-93.2105,547.0,7884.0,19699.0,29514.0,45293.0,65847.0,90428.0,130974.0,233062.0,282980.0,320187.0,336890.0,352137.0,365229.0,371478.0,373960.0,378831.0,408390.0,452057.0,486132.0,528221.0,575501.0,719703.0,754073.0,758463.0,763782.0,780019.0,796611.0,818389.0,843034.0,856096.0,862925.0,873597.0,886411.0,895619.0,902075.0
Kansas,38.5266,-96.7265,485.0,4634.0,9920.0,14830.0,27590.0,42940.0,62292.0,90172.0,159730.0,229822.0,278683.0,296240.0,303558.0,310190.0,314917.0,318735.0,333453.0,373617.0,411777.0,436449.0,470232.0,520134.0,730533.0,766218.0,770484.0,776077.0,789163.0,807169.0,835184.0,864643.0,878782.0,887377.0,901696.0,917065.0,928503.0,936431.0
Kentucky,37.6681,-84.6701,632.0,4882.0,10046.0,15842.0,30723.0,49185.0,69728.0,108642.0,183164.0,265261.0,364498.0,405126.0,427842.0,444771.0,458712.0,465330.0,485063.0,581982.0,695474.0,745353.0,789225.0,856145.0,1169097.0,1280109.0,1315185.0,1328111.0,1356443.0,1405062.0,1471195.0,1542399.0,1582021.0,1614528.0,1635283.0,1662581.0,1692590.0,1713220.0
