Province_State,2023 Total Estimated Sales
Alabama,487077
Alaska,80341
Arizona,407288
Arkansas,200279
California,1043421
Colorado,443800
Connecticut,120044
Delaware,47080
District of Columbia,4351
Florida,1316471
Georgia,418452
Hawaii,23528
Idaho,160120
Illinois,504452
Indiana,498169
Iowa,82795
Kansas,179350
Kentucky,288877
Louisiana,282155
Maine,118297
Maryland,213437
Massachusetts,136398
Michigan,555650
Minnesota,309425
Mississippi,227199
Missouri,520488
Montana,134008
Nebraska,26987
Nevada,118998
New Hampshire,136502
New Jersey,175711
New Mexico,163624
New York,337814
North Carolina,499561
North Dakota,66933
Ohio,583314
Oklahoma,325700
Oregon,446556
Pennsylvania,841523
Rhode Island,28555
South Carolina,259145
South Dakota,72303
Tennessee,633015
Texas,1347589
Utah,143430
Vermont,46518
Virginia,581698
Washington,489551
West Virginia,163057
Wisconsin,413680
Wyoming,65102
