State,Lat,Long_,Gun Sales in 2023,Guns Per Capita
Alabama,32.3182,-86.9023,487077.0,9.53
Alaska,61.3707,-152.4044,80341.0,10.95
Arizona,33.7298,-111.4312,407288.0,5.48
Arkansas,34.9697,-92.3731,200279.0,6.53
California,36.1162,-119.6816,1043421.0,2.68
Colorado,39.0598,-105.3111,443800.0,7.55
Connecticut,41.5978,-72.7554,120044.0,3.32
Delaware,39.3185,-75.5071,47080.0,4.56
District of Columbia,38.8974,-77.0268,4351.0,0.64
Florida,27.7663,-81.6868,1316471.0,5.82
Georgia,33.0406,-83.6431,418452.0,3.79
Hawaii,21.0943,-157.4983,23528.0,1.64
Idaho,44.2405,-114.4788,160120.0,8.15
Illinois,40.3495,-88.9861,504452.0,4.02
Indiana,39.8494,-86.2583,498169.0,7.26
Iowa,42.0115,-93.2105,82795.0,2.58
Kansas,38.5266,-96.7265,179350.0,6.1
Kentucky,37.6681,-84.6701,288877.0,6.38
Louisiana,31.1695,-91.8678,282155.0,6.17
Maine,44.6939,-69.3819,118297.0,8.48
Maryland,39.0639,-76.8021,213437.0,3.45
Massachusetts,42.2302,-71.5301,136398.0,1.95
Michigan,43.3266,-84.5361,555650.0,5.54
Minnesota,45.6945,-93.9002,309425.0,5.39
Mississippi,32.7416,-89.6787,227199.0,7.73
Missouri,38.4561,-92.2884,520488.0,8.4
Montana,46.9219,-110.4544,134008.0,11.83
Nebraska,41.1254,-98.2681,26987.0,1.36
Nevada,38.3135,-117.0554,118998.0,3.73
New Hampshire,43.4525,-71.5639,136502.0,9.74
New Jersey,40.2989,-74.521,175711.0,1.89
New Mexico,34.8405,-106.2485,163624.0,7.74
New York,42.1657,-74.9481,337814.0,1.73
North Carolina,35.6301,-79.8064,499561.0,4.61
North Dakota,47.5289,-99.784,66933.0,8.54
Ohio,40.3888,-82.7649,583314.0,4.95
Oklahoma,35.5653,-96.9289,325700.0,8.03
Oregon,44.572,-122.0709,446556.0,10.55
Pennsylvania,40.5908,-77.2098,841523.0,6.49
Rhode Island,41.6809,-71.5118,28555.0,2.61
South Carolina,33.8569,-80.945,259145.0,4.82
South Dakota,44.2998,-99.4388,72303.0,7.86
Tennessee,35.7478,-86.6923,633015.0,8.88
Texas,31.0545,-97.5635,1347589.0,4.42
Utah,40.15,-111.8624,143430.0,4.2
Vermont,44.0459,-72.7107,46518.0,7.18
Virginia,37.7693,-78.17,581698.0,6.67
Washington,47.4009,-121.4905,489551.0,6.27
West Virginia,38.4912,-80.9545,163057.0,9.21
Wisconsin,44.2685,-89.6165,413680.0,7.0
Wyoming,42.756,-107.3025,65102.0,11.15
