Province_State,Lat,Long_,Confirmed 01-01-2021,Confirmed 02-01-2021,Confirmed 03-01-2021,Confirmed 04-01-2021,Confirmed 05-01-2021,Confirmed 06-01-2021,Confirmed 07-01-2021,Confirmed 08-01-2021,Confirmed 09-01-2021,Confirmed 10-01-2021,Confirmed 11-01-2021,Confirmed 12-01-2021,Confirmed 01-01-2022,Confirmed 02-01-2022,Confirmed 03-01-2022,Confirmed 04-01-2022,Confirmed 05-01-2022,Confirmed 06-01-2022,Confirmed 07-01-2022,Confirmed 08-01-2022,Confirmed 09-01-2022,Confirmed 10-01-2022,Confirmed 11-01-2022,Confirmed 12-01-2022,Confirmed 01-01-2023,Confirmed 02-01-2023,Confirmed 03-01-2023
Alabama,32.3182,-86.9023,365747,460860,493769,515866,528309,544045,550983,587405,704420,798320,832264,846297,896614,1223896,1280351,1295353,1300733,1315934,1359051,1424411,1494300,1522135,1534287,1549285,1568934,1617850,1642062
Alaska,61.3707,-152.4044,47019,54457,58681,63298,68148,70319,71275,75486,89345,115703,139429,151323,157169,216939,239494,247739,253002,262071,272415,283643,294498,298178,300177,299869,301432,304368,307073
American Samoa,-14.271,-170.132,0,0,0,0,0,0,0,0,0,0,4,4,10,18,84,3817,5822,6145,6505,7471,8168,8247,8257,8263,8266,8320,8320
Arizona,33.7298,-111.4312,530267,762145,817821,842192,863571,881454,895347,929541,1016663,1097225,1170990,1272943,1389708,1878211,1976890,2007180,2021524,2062669,2125567,2196429,2254374,2271560,2287886,2337547,2378334,2401287,2440294
Arkansas,34.9697,-92.3731,229442,296494,322509,330609,335968,341450,350085,388436,455781,496934,513352,529768,570641,781396,820677,833029,835916,843828,866816,904513,933962,951892,960225,969642,985747,996887,1004752
California,36.1162,-119.6816,2434971,3396854,3629658,3729904,3806435,3854079,3884784,4055073,4479579,4744545,4930327,5086496,5519689,8481477,8986389,9108105,9233795,9626398,10156455,10754482,11116629,11269880,11385091,11551397,11835450,12003780,12097613
Colorado,39.0598,-105.3111,362438,415482,445512,479774,527929,553723,563627,582404,629580,686890,762463,854994,1004704,1375453,1410295,1421384,1439577,1491706,1554954,1604776,1633767,1654798,1675734,1709688,1734782,1749557,1761332
Connecticut,41.5978,-72.7554,185708,253954,282626,312468,339233,347563,349387,354335,373784,391066,403415,422785,510188,700640,723559,737276,758281,810190,831880,854934,875574,897699,913565,927641,949324,967429,975405
Delaware,39.3185,-75.5071,58064,78495,87080,95188,104621,108894,109770,111563,120180,133599,144397,153762,183880,248447,256656,259746,262461,276771,285403,294908,302986,308713,313466,317174,321888,326847,330793
District of Columbia,38.8974,-77.0268,29252,37008,40684,44656,47697,49000,49362,50398,55570,61331,64470,67047,94286,130949,134678,136886,141943,150303,157041,162692,166275,168514,169709,171608,173386,176012,177504
