Province_State,Lat,Long_,Confirmed 04-01-2020,Confirmed 05-01-2020,Confirmed 06-01-2020,Confirmed 07-01-2020,Confirmed 08-01-2020,Confirmed 09-01-2020,Confirmed 10-01-2020,Confirmed 11-01-2020,Confirmed 12-01-2020
Alabama,0.0,0.0,0.0,,,,,,,,
Alabama,30.72774991,-87.72207058,26.0,180.0,299.0,739.0,3194.0,4563.0,5981.0,6974.0,9051.0
Alabama,30.78472347,-88.20842409,61.0,1139.0,2270.0,3804.0,8953.0,12244.0,13594.0,17300.0,20103.0
Alabama,31.09389027,-85.83572839,,10.0,44.0,72.0,239.0,453.0,662.0,980.0,1250.0
Alabama,31.1256789,-87.15918694,0.0,27.0,72.0,293.0,1019.0,1423.0,1621.0,1771.0,2023.0
Alabama,31.15197924,-85.29939599,11.0,94.0,223.0,451.0,1339.0,2166.0,2995.0,4339.0,5410.0
Alabama,31.2477854,-86.45050893,3.0,41.0,85.0,335.0,793.0,1093.0,1428.0,1887.0,2250.0
Alabama,31.39932826,-85.98901039,,116.0,237.0,355.0,717.0,1096.0,1396.0,1882.0,2500.0
Alabama,31.4092794,-88.20689944,3.0,36.0,77.0,108.0,314.0,522.0,561.0,775.0,932.0
Alabama,31.43037123,-85.61095742,,26.0,124.0,261.0,775.0,1118.0,1418.0,1943.0,2390.0
Alabama,31.43401703,-86.99320044,,9.0,41.0,187.0,381.0,485.0,536.0,579.0,700.0
Alabama,31.51148016,-85.24267944,,23.0,81.0,134.0,258.0,399.0,522.0,754.0,889.0
Alabama,31.56729412,-87.36995001,4.0,13.0,39.0,202.0,437.0,547.0,592.0,666.0,830.0
Alabama,31.68099859,-87.83548597,,33.0,146.0,258.0,495.0,986.0,1117.0,1405.0,1610.0
Alabama,31.72941803,-86.31593104,1.0,21.0,84.0,132.0,305.0,478.0,545.0,624.0,722.0
Alabama,31.75300095,-86.68057478,1.0,68.0,414.0,602.0,756.0,867.0,917.0,1025.0,1186.0
Alabama,31.80396383,-85.9408295,6.0,70.0,213.0,415.0,665.0,992.0,1216.0,1394.0,1615.0
Alabama,31.868263,-85.3871286,,42.0,177.0,337.0,611.0,763.0,900.0,1062.0,1189.0
Alabama,31.98773215,-87.30891118,3.0,66.0,154.0,286.0,409.0,514.0,531.0,576.0,648.0
Alabama,32.02227341,-88.26564429999998,5.0,50.0,152.0,192.0,276.0,323.0,357.0,395.0,431.0
Alabama,32.10030533,-85.71265535,2.0,14.0,211.0,358.0,441.0,566.0,611.0,653.0,701.0
Alabama,32.1597283,-86.65158371,1.0,70.0,256.0,459.0,553.0,622.0,660.0,731.0,809.0
Alabama,32.2206831,-86.20969272,36.0,352.0,1786.0,3881.0,6224.0,7951.0,8892.0,10727.0,12552.0
Alabama,32.24767634,-87.78796182,4.0,47.0,167.0,291.0,509.0,638.0,723.0,1066.0,1234.0
Alabama,32.28725256,-85.18415324,3.0,58.0,171.0,496.0,1232.0,1619.0,1787.0,1999.0,2266.0
Alabama,32.32688101,-87.10866709999998,3.0,40.0,284.0,831.0,1340.0,1625.0,1788.0,1908.0,2315.0
Alabama,32.38759944,-85.69267724,3.0,37.0,83.0,179.0,320.0,443.0,486.0,568.0,755.0
Alabama,32.53952745,-86.64408227,10.0,43.0,237.0,562.0,1064.0,1442.0,1799.0,2182.0,2818.0
Alabama,32.59117397,-88.19916205,2.0,66.0,220.0,278.0,369.0,410.0,441.0,488.0,586.0
Alabama,32.59785413,-86.14415284,15.0,92.0,366.0,826.0,1608.0,2209.0,2769.0,3314.0,4211.0
Alabama,32.60154883,-85.35132246,93.0,395.0,561.0,1263.0,2612.0,4775.0,6021.0,6727.0,7872.0
Alabama,32.64048341,-87.29770589,,10.0,43.0,152.0,448.0,518.0,541.0,605.0,691.0
Alabama,32.76039258,-87.63284988,1.0,53.0,180.0,301.0,464.0,572.0,668.0,800.0,981.0
Alabama,32.85044126,-86.7173256,13.0,55.0,106.0,221.0,731.0,1207.0,1620.0,1962.0,2289.0
Alabama,32.85504247,-87.95684022,2.0,58.0,101.0,186.0,251.0,291.0,308.0,350.0,435.0
Alabama,32.86698258,-85.79833053,13.0,290.0,436.0,573.0,841.0,1050.0,1169.0,1402.0,1872.0
Alabama,32.91360079,-85.39072749,51.0,295.0,373.0,609.0,869.0,1040.0,1175.0,1397.0,1827.0
Alabama,32.93690146,-86.24847739,3.0,30.0,40.0,57.0,97.0,142.0,181.0,231.0,366.0
Alabama,32.99642064,-87.12511459999997,,,,,,562.0,671.0,883.0,1204.0
Alabama,32.99642064,-87.12511459999996,3.0,41.0,78.0,181.0,373.0,,,,
Alabama,33.26879845,-86.66232561,101.0,325.0,537.0,1109.0,3123.0,4666.0,6253.0,7836.0,10796.0
Alabama,33.26984193,-85.85836077,3.0,20.0,25.0,58.0,208.0,381.0,597.0,777.0,928.0
Alabama,33.28094866,-88.08818103,5.0,53.0,121.0,216.0,363.0,565.0,672.0,932.0,1265.0
Alabama,33.28726072,-87.52556818,32.0,220.0,813.0,2072.0,3900.0,6024.0,8999.0,10796.0,13366.0
Alabama,33.29526734,-85.45708831,5.0,66.0,131.0,188.0,396.0,526.0,681.0,871.0,1055.0
Alabama,33.37823223,-86.16886178,9.0,65.0,119.0,286.0,1029.0,1782.0,2184.0,2814.0,3701.0
Alabama,33.55554728,-86.89506300000002,310.0,941.0,1891.0,4534.0,11719.0,16598.0,20314.0,24475.0,33526.0
